method,suite,pixel_accuracy,precision,recall,f1,iou,alpha_mae,soft_edge_mae,text_alpha_mae,text_core_recall,median_inference_ms
banner_run1,banners,0.9961058601500496,0.9817547468164725,0.9860567364119746,0.9839010391529772,0.9683122186571224,0.007159384499472152,0.05499299928649432,0.052683590445667505,0.9713171901941675,108.54047955945134
banner_run1,edge_cases,0.9823271433512369,0.9448374986060689,0.8897743913467092,0.9164796269421334,0.8458351589233918,0.030992744268991776,0.08423943946965867,0.06185150249964661,0.97381007852865,108.35454193875194
banner_run2,banners,0.9959975146742724,0.9787814296429206,0.9882577409798953,0.9834967590052782,0.9675293883400271,0.008616876279120333,0.05723843014695578,0.05405624624755648,0.9721418397181198,108.22025034576654
banner_run2,edge_cases,0.981813112894694,0.905800375684516,0.9298057793620882,0.917646110462547,0.8478244678870287,0.025133977864041097,0.07937579071666631,0.060964448325749904,0.9746803349459344,108.44827024266124
banner_real,banners,0.9954969618055556,0.9750654330997726,0.9879500017393957,0.9814654324466586,0.9636054226458628,0.006568674235798729,0.059311228054058224,0.05554588749590847,0.9714521328435415,108.67831250652671
banner_real,edge_cases,0.9899279276529948,0.9450283647973269,0.9636281161939989,0.9542376137235162,0.9124803361126342,0.015047035532511977,0.07450339017021987,0.06213633783368601,0.9750229555826606,108.55797957628965
deeplab_hard,banners,0.8903445289248512,0.864905023036056,0.10825865081764978,0.19243104401648164,0.10645848025851815,0.11368807912286785,0.3686776128080156,0.5845810104575422,0.011297698478146788,7.185208611190319
deeplab_hard,edge_cases,0.898707389831543,0.859488888227769,0.08427507103142885,0.1534991591816566,0.08312975320045234,0.10772028480035563,0.3635601487217678,0.5826560782475604,0.0005550454314964299,7.243687752634287
deeplab_soft,banners,0.8957595421523644,0.8950587103133028,0.15431249715675702,0.26324096507916217,0.15157022925241947,0.10370161092012292,0.33579943008306956,0.5669649802148342,0.011290201664292676,7.185208611190319
deeplab_soft,edge_cases,0.901618480682373,0.8718795683565633,0.11395658185679364,0.20156780694071255,0.11207973685003292,0.10344167586622967,0.32883739802572465,0.5570554693953859,0.0010552715611166692,7.243687752634287
